title,duration
The Goodbye Girl,111
Julia,117
,
The Turning Point,119
Coming Home,127
The Deer Hunter,183
Heaven Can Wait,101
Midnight Express,121
An Unmarried Woman,124
All That Jazz,123
Apocalypse Now,147
Breaking Away,101
Kramer vs. Kramer,105
Norma Rae,114
Coal Miner's Daughter,124
The Elephant Man,124
Ordinary People,124
Raging Bull,129
Tess,186
Atlantic City,104
Chariots of Fire,125
On Golden Pond,109
Raiders of the Lost Ark,115
Reds,195
E.T. the Extra-Terrestrial,115
Gandhi,191
Missing,122
Tootsie,116
The Verdict,129
The Big Chill,105
The Dresser,118
The Right Stuff,193
Tender Mercies,92
Terms of Endearment,132
Amadeus,160
The Killing Fields,141
A Passage to India,164
Places in the Heart,111
A Soldier's Story,101
The Color Purple,154
Kiss of the Spider Woman,120
Out of Africa,161
Prizzi's Honor,130
Witness,112
Children of a Lesser God,119
Hannah and Her Sisters,107
The Mission,125
Platoon,120
A Room with a View,117
Broadcast News,133
Fatal Attraction,119
Hope and Glory,113
The Last Emperor,163
Moonstruck,102
The Accidental Tourist,121
Dangerous Liaisons,119
Mississippi Burning,128
Rain Man,133
Working Girl,113
Born on the Fourth of July,145
Dead Poets Society,128
Driving Miss Daisy,99
Field of Dreams,107
,
Awakenings,121
Dances with Wolves,181
Ghost,127
The Godfather Part III,162
Goodfellas,145
Beauty and the Beast,84
Bugsy,136
JFK,189
The Prince of Tides,132
The Silence of the Lambs,118
