title,rating
Doctor Dolittle,6.1
The Graduate,8.0
Guess Who's Coming to Dinner,7.8
In the Heat of the Night,7.9
Funny Girl,7.3
The Lion in Winter,7.9
Oliver!,7.4
"Rachel, Rachel",7.1
Romeo and Juliet,7.6
Anne of the Thousand Days,7.4
Butch Cassidy and the Sundance Kid,8.0
"Hello, Dolly!",7.0
Midnight Cowboy,7.8
Z,8.2
Airport,6.6
Five Easy Pieces,7.4
Love Story,6.9
M*A*S*H,7.4
Patton,7.9
A Clockwork Orange,8.3
Fiddler on the Roof,8.0
The French Connection,7.7
The Last Picture Show,8.0
Nicholas and Alexandra,7.2
Cabaret,7.8
Deliverance,7.7
The Emigrants,8.0
The Godfather,9.2
Sounder,7.5
American Graffiti,7.4
,
The Exorcist,8.1
The Sting,8.3
A Touch of Class,6.5
Chinatown,8.2
The Conversation,7.8
The Godfather Part II,9.0
Lenny,7.5
The Towering Inferno,7.0
Barry Lyndon,8.1
Dog Day Afternoon,8.0
Jaws,8.1
Nashville,7.6
One Flew Over the Cuckoo's Nest,8.7
All the President's Men,7.9
Bound for Glory,7.2
Network,8.1
Rocky,8.1
Taxi Driver,8.2
Annie Hall,8.0
The Goodbye Girl,7.4
Julia,7.1
,
The Turning Point,6.8
Coming Home,7.3
The Deer Hunter,8.1
Heaven Can Wait,6.9
Midnight Express,7.5
An Unmarried Woman,7.2
All That Jazz,7.8
Apocalypse Now,8.4
Breaking Away,7.7
Kramer vs. Kramer,7.8
Norma Rae,7.3
Coal Miner's Daughter,7.5
The Elephant Man,8.2
Ordinary People,7.7
Raging Bull,8.1
Tess,7.3
Atlantic City,7.3
Chariots of Fire,7.1
On Golden Pond,7.6
Raiders of the Lost Ark,8.4
Reds,7.3
E.T. the Extra-Terrestrial,7.9
Gandhi,8.0
Missing,7.7
Tootsie,7.4
The Verdict,7.7
The Big Chill,7.1
The Dresser,7.5
The Right Stuff,7.8
Tender Mercies,7.3
Terms of Endearment,7.4
Amadeus,8.4
The Killing Fields,7.8
A Passage to India,7.3
Places in the Heart,7.4
A Soldier's Story,7.2
The Color Purple,7.7
Kiss of the Spider Woman,7.3
Out of Africa,7.1
Prizzi's Honor,6.7
Witness,7.4
Children of a Lesser God,7.2
Hannah and Her Sisters,7.8
The Mission,7.4
Platoon,8.1
A Room with a View,7.2
Broadcast News,7.3
Fatal Attraction,6.9
Hope and Glory,7.3
The Last Emperor,7.7
Moonstruck,7.1
The Accidental Tourist,6.7
Dangerous Liaisons,7.6
Mississippi Burning,7.8
Rain Man,8.0
Working Girl,6.8
Born on the Fourth of July,7.2
Dead Poets Society,8.1
Driving Miss Daisy,7.3
Field of Dreams,7.5
,
Awakenings,7.8
Dances with Wolves,8.0
Ghost,7.1
The Godfather Part III,7.6
Goodfellas,8.7
Beauty and the Beast,8.0
Bugsy,6.8
JFK,8.0
The Prince of Tides,6.8
The Silence of the Lambs,8.6
The Crying Game,7.2
A Few Good Men,7.7
Howards End,7.4
Scent of a Woman,8.0
Unforgiven,8.2
The Fugitive,7.8
In the Name of the Father,8.1
The Piano,7.5
The Remains of the Day,7.8
Schindler's List,9.0
Forrest Gump,8.8
Four Weddings and a Funeral,7.1
Pulp Fiction,8.9
Quiz Show,7.5
The Shawshank Redemption,9.3
Apollo 13,7.7
Babe,6.9
Braveheart,8.3
The Postman,7.8
Sense and Sensibility,7.7
The English Patient,7.4
Fargo,8.1
Jerry Maguire,7.3
Secrets & Lies,8.0
Shine,7.6
As Good as It Gets,7.7
The Full Monty,7.2
Good Will Hunting,8.3
L.A. Confidential,8.2
Titanic,7.9
Elizabeth,7.4
Life Is Beautiful,8.6
Saving Private Ryan,8.6
Shakespeare in Love,7.1
The Thin Red Line,7.6
American Beauty,8.3
The Cider House Rules,7.4
The Green Mile,8.6
The Insider,7.8
The Sixth Sense,8.2
Chocolat,7.3
"Crouching Tiger, Hidden Dragon",7.9
Erin Brockovich,7.4
Gladiator,8.5
Traffic,7.6
A Beautiful Mind,8.2
Gosford Park,7.2
In the Bedroom,7.4
The Lord of the Rings: The Fellowship of the Ring,8.9
