,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
45,1934,1935,7,The Thin Man,False,en,The Thin Man,1934-05-25,7.501,"['Comedy', 'Crime', 'Mystery']",7.9,91.0,Golden Era
46,1934,1935,7,Viva Villa!,False,en,Viva Villa!,1934-04-27,6.316,['Western'],6.3,115.0,Golden Era
47,1934,1935,7,The White Parade,False,en,The White Parade,1934-11-16,6.0,['Drama'],6.8,80.0,Golden Era
48,1935,1936,8,Alice Adams,False,en,Alice Adams,1935-08-23,6.7,"['Comedy', 'Drama', 'Romance']",6.9,99.0,Golden Era
49,1935,1936,8,Broadway Melody of 1936,False,en,Broadway Melody of 1936,1935-09-18,6.353,"['Music', 'Romance']",6.8,101.0,Golden Era
50,1935,1936,8,Captain Blood,False,en,Captain Blood,1935-12-26,7.25,"['Adventure', 'Action', 'History', 'Romance']",7.7,119.0,Golden Era
51,1935,1936,8,David Copperfield,False,en,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",1935-01-18,6.6,"['Adventure', 'Drama', 'Romance', 'Family']",7.4,130.0,Golden Era
52,1935,1936,8,The Informer,False,en,The Informer,1935-05-09,6.756,"['Crime', 'Drama']",7.4,91.0,Golden Era
53,1935,1936,8,Les Misérables,False,fr,Les Misérables,1934-02-09,7.798,"['Drama', 'History']",7.7,108.0,Golden Era
54,1935,1936,8,The Lives of a Bengal Lancer,False,en,The Lives of a Bengal Lancer,1935-01-11,6.75,"['Adventure', 'Drama', 'War']",7.0,109.0,Golden Era
55,1935,1936,8,A Midsummer Night's Dream,False,en,A Midsummer Night's Dream,1935-10-09,6.686,"['Fantasy', 'Romance', 'Comedy']",6.8,133.0,Golden Era
56,1935,1936,8,Mutiny on the Bounty,True,en,Mutiny on the Bounty,1935-11-22,7.3,"['Adventure', 'Drama', 'History']",7.6,132.0,Golden Era
57,1935,1936,8,Naughty Marietta,False,en,Naughty Marietta,1935-03-29,4.214,"['Music', 'Romance', 'Drama']",6.5,105.0,Golden Era
58,1935,1936,8,Ruggles of Red Gap,False,en,Ruggles of Red Gap,1935-03-08,7.016,['Comedy'],7.6,90.0,Golden Era
59,1935,1936,8,Top Hat,False,en,Top Hat,1935-08-29,7.3,"['Comedy', 'Music', 'Romance']",7.7,101.0,Golden Era
60,1936,1937,9,Anthony Adverse,False,en,Anthony Adverse,1936-08-26,5.935,"['Drama', 'Romance', 'Adventure', 'History']",6.3,141.0,Golden Era
61,1936,1937,9,Dodsworth,False,en,Dodsworth,1936-09-23,7.159,"['Drama', 'Romance']",7.8,101.0,Golden Era
62,1936,1937,9,The Great Ziegfeld,True,en,The Great Ziegfeld,1936-04-08,6.221,"['Drama', 'Music', 'Romance']",6.6,176.0,Golden Era
63,1936,1937,9,Libeled Lady,False,en,Libeled Lady,1936-10-09,7.313,"['Comedy', 'Romance']",7.8,98.0,Golden Era
