iter	Passed	Remaining
423	2263	3074
424	2270	3071
425	2275	3065
426	2279	3059
427	2286	3055
428	2291	3049
429	2296	3043
430	2303	3040
431	2308	3035
432	2313	3029
433	2320	3025
434	2325	3020
435	2330	3014
436	2337	3011
437	2343	3006
438	2349	3002
439	2354	2997
440	2360	2991
441	2367	2988
442	2372	2983
443	2377	2977
444	2384	2973
445	2389	2967
446	2394	2962
447	2400	2957
448	2405	2952
449	2410	2946
450	2417	2942
451	2422	2936
452	2427	2930
453	2434	2927
454	2439	2921
455	2443	2915
456	2450	2912
457	2456	2907
458	2461	2901
459	2468	2897
460	2472	2891
461	2477	2885
462	2484	2881
463	2489	2875
464	2493	2869
465	2500	2864
466	2504	2858
467	2509	2852
468	2516	2849
469	2521	2843
470	2526	2837
471	2532	2832
472	2537	2826
473	2542	2821
474	2548	2817
475	2554	2812
476	2559	2806
477	2566	2802
478	2571	2796
479	2576	2791
480	2582	2786
481	2587	2780
482	2592	2774
483	2598	2770
484	2603	2764
485	2608	2758
486	2614	2754
487	2619	2748
488	2624	2742
489	2632	2739
490	2637	2733
491	2643	2729
492	2648	2723
493	2653	2717
494	2659	2712
495	2665	2708
496	2670	2703
497	2677	2698
498	2682	2693
499	2687	2687
500	2694	2683
501	2698	2677
502	2703	2671
503	2710	2667
504	2714	2661
505	2719	2655
506	2726	2651
507	2732	2646
508	2737	2640
509	2743	2635
510	2748	2629
511	2753	2624
512	2759	2619
513	2766	2615
514	2771	2609
515	2778	2605
516	2783	2600
517	2788	2594
518	2794	2589
519	2799	2583
520	2803	2577
521	2810	2573
522	2814	2567
523	2819	2561
524	2825	2556
525	2830	2550
526	2834	2544
527	2841	2539
528	2846	2534
529	2850	2528
530	2857	2523
531	2862	2517
532	2867	2512
533	2874	2508
534	2880	2503
535	2885	2497
536	2891	2493
537	2896	2487
538	2901	2481
539	2908	2477
540	2912	2471
541	2917	2465
542	2924	2461
543	2929	2455
544	2933	2449
545	2940	2444
546	2944	2438
547	2949	2432
548	2956	2428
549	2960	2422
550	2965	2416
551	2972	2412
552	2978	2407
553	2983	2401
554	2989	2397
555	2994	2391
556	2999	2385
557	3006	2381
558	3011	2375
559	3016	2370
560	3022	2365
561	3027	2359
562	3032	2353
563	3040	2350
564	3045	2344
565	3050	2339
566	3056	2334
567	3061	2328
568	3068	2324
569	3074	2319
570	3079	2313
571	3085	2308
572	3092	2304
573	3097	2298
574	3104	2294
575	3109	2288
576	3114	2283
577	3120	2278
578	3125	2272
579	3130	2266
580	3136	2262
581	3141	2256
582	3146	2250
583	3153	2246
584	3158	2240
585	3162	2234
586	3170	2230
587	3175	2225
588	3180	2219
589	3187	2215
590	3197	2212
591	3204	2208
592	3209	2202
593	3215	2198
594	3220	2192
595	3225	2186
596	3233	2182
597	3238	2177
598	3243	2171
599	3250	2167
600	3255	2161
601	3260	2155
602	3267	2151
603	3272	2145
604	3277	2139
605	3284	2135
606	3291	2130
607	3298	2126
608	3303	2120
609	3308	2115
610	3315	2111
611	3320	2105
612	3325	2099
613	3332	2095
614	3337	2089
615	3342	2083
616	3350	2079
617	3355	2074
618	3362	2069
619	3367	2064
620	3373	2058
621	3380	2054
622	3386	2049
623	3391	2043
624	3398	2039
625	3404	2034
626	3410	2028
627	3415	2022
628	3422	2018
629	3427	2013
630	3432	2007
631	3439	2003
632	3444	1997
633	3449	1991
634	3456	1986
635	3461	1981
636	3466	1975
637	3472	1970
638	3477	1964
639	3482	1959
640	3489	1954
641	3495	1949
642	3500	1943
643	3507	1938
644	3512	1933
645	3517	1927
646	3523	1922
647	3528	1916
648	3532	1910
649	3540	1906
650	3545	1900
651	3550	1894
652	3556	1889
653	3561	1884
654	3566	1878
655	3572	1873
656	3577	1867
657	3582	1862
658	3589	1857
659	3594	1851
660	3600	1846
661	3606	1841
662	3612	1836
663	3618	1831
664	3623	1825
665	3628	1819
666	3635	1814
667	3640	1809
668	3645	1803
669	3651	1798
670	3656	1792
671	3661	1787
672	3668	1782
673	3673	1776
674	3678	1770
675	3684	1766
676	3689	1760
677	3694	1754
678	3700	1749
679	3706	1744
680	3711	1738
681	3717	1733
682	3722	1727
683	3727	1722
684	3734	1717
685	3739	1711
686	3744	1705
687	3751	1701
688	3756	1695
689	3761	1689
690	3767	1684
691	3772	1679
692	3777	1673
693	3783	1668
694	3788	1662
695	3793	1656
696	3800	1652
697	3805	1646
698	3809	1640
699	3816	1635
700	3823	1631
701	3830	1626
702	3835	1620
703	3840	1614
704	3846	1609
705	3852	1604
706	3857	1598
707	3864	1593
708	3868	1587
709	3873	1582
710	3880	1577
711	3885	1571
712	3890	1565
713	3896	1560
714	3901	1555
715	3906	1549
716	3912	1544
717	3918	1538
718	3924	1533
719	3935	1530
720	3945	1526
721	3951	1521
722	3957	1516
723	3964	1511
724	3970	1506
725	3977	1501
726	3982	1495
727	3987	1489
728	3994	1484
729	3999	1479
730	4004	1473
731	4011	1468
732	4015	1462
733	4020	1457
734	4027	1451
735	4033	1446
736	4038	1441
737	4045	1436
738	4049	1430
739	4054	1424
740	4061	1419
741	4066	1413
742	4071	1408
743	4077	1402
744	4082	1397
745	4087	1391
746	4093	1386
747	4098	1380
748	4103	1375
749	4110	1370
750	4115	1364
751	4120	1358
752	4127	1353
753	4133	1348
754	4138	1342
755	4144	1337
756	4149	1331
757	4154	1326
758	4160	1321
759	4165	1315
760	4169	1309
761	4176	1304
762	4181	1298
763	4186	1293
764	4192	1287
765	4197	1282
766	4202	1276
767	4208	1271
768	4213	1265
769	4218	1260
770	4226	1255
771	4231	1249
772	4237	1244
773	4243	1239
774	4248	1233
775	4255	1228
776	4260	1222
777	4266	1217
778	4272	1212
779	4277	1206
780	4283	1201
781	4289	1195
782	4294	1190
783	4299	1184
784	4306	1179
785	4311	1173
786	4316	1168
787	4323	1163
788	4328	1157
789	4333	1152
790	4340	1146
791	4346	1141
792	4351	1135
793	4357	1130
794	4362	1124
795	4367	1119
796	4373	1113
797	4378	1108
798	4382	1102
799	4389	1097
800	4393	1091
801	4398	1085
802	4404	1080
803	4409	1074
804	4414	1069
805	4421	1064
806	4426	1058
807	4430	1052
808	4437	1047
809	4442	1042
810	4446	1036
811	4453	1031
812	4459	1025
813	4464	1020
814	4471	1014
815	4476	1009
816	4481	1003
817	4487	998
818	4492	992
819	4497	987
820	4502	981
821	4507	976
822	4512	970
823	4518	965
824	4523	959
825	4528	953
826	4535	948
827	4539	943
828	4544	937
829	4550	932
830	4556	926
831	4561	921
832	4568	915
833	4573	910
834	4578	904
835	4585	899
836	4590	893
837	4595	888
838	4601	883
839	4606	877
840	4611	871
841	4617	866
842	4622	860
843	4627	855
844	4633	849
845	4638	844
846	4642	838
847	4649	833
848	4654	827
849	4659	822
850	4666	816
851	4673	811
852	4679	806
853	4684	800
854	4689	795
855	4696	789
856	4701	784
857	4706	778
858	4712	773
859	4717	768
860	4722	762
861	4729	757
862	4734	751
863	4739	745
864	4745	740
865	4750	735
866	4757	729
867	4763	724
868	4768	718
869	4774	713
870	4779	707
871	4783	702
872	4790	696
873	4794	691
874	4799	685
875	4806	680
876	4811	674
877	4816	669
878	4822	663
879	4827	658
880	4832	652
881	4838	647
882	4843	641
883	4847	636
884	4854	630
885	4859	625
886	4864	619
887	4871	614
888	4877	609
889	4882	603
890	4888	598
891	4893	592
892	4898	586
893	4905	581
894	4909	576
895	4914	570
896	4921	565
897	4926	559
898	4930	553
899	4937	548
900	4942	543
901	4946	537
902	4953	532
903	4958	526
904	4962	520
905	4969	515
906	4975	510
907	4980	504
908	4987	499
909	4991	493
910	4996	488
911	5003	482
912	5007	477
913	5012	471
914	5019	466
915	5024	460
916	5028	455
917	5035	449
918	5039	444
919	5044	438
920	5051	433
921	5057	427
922	5061	422
923	5068	416
924	5073	411
925	5078	405
926	5085	400
927	5091	395
928	5098	389
929	5104	384
930	5110	378
931	5117	373
932	5122	367
933	5127	362
934	5133	356
935	5138	351
936	5143	345
937	5150	340
938	5155	334
939	5160	329
940	5166	323
941	5171	318
942	5176	312
943	5183	307
944	5189	302
945	5196	296
946	5201	291
947	5206	285
948	5214	280
949	5219	274
950	5224	269
951	5231	263
952	5236	258
953	5241	252
954	5248	247
955	5253	241
956	5258	236
957	5265	230
958	5270	225
959	5276	219
960	5281	214
961	5286	208
962	5293	203
963	5299	197
964	5305	192
965	5313	187
966	5318	181
967	5322	175
968	5329	170
969	5334	164
970	5339	159
971	5346	154
972	5351	148
973	5356	142
974	5363	137
975	5368	132
976	5374	126
977	5380	121
978	5385	115
979	5391	110
980	5396	104
981	5401	99
982	5408	93
983	5414	88
984	5419	82
985	5426	77
986	5431	71
987	5435	66
988	5442	60
989	5447	55
990	5451	49
991	5460	44
992	5465	38
993	5470	33
994	5476	27
995	5481	22
996	5486	16
997	5493	11
998	5498	5
999	5502	0
