iter	Logloss
308	0.2141496057
309	0.2134495806
310	0.2130791163
311	0.212482948
312	0.2122215572
313	0.2120236861
314	0.211768476
315	0.2115850328
316	0.2109630314
317	0.210706416
318	0.2105131554
319	0.2101640705
320	0.2099865588
321	0.2098275738
322	0.2093219738
323	0.2089357365
324	0.2087283136
325	0.2083533274
326	0.208125083
327	0.20764717
328	0.2074035652
329	0.2072291578
330	0.2068967468
331	0.2058743228
332	0.2052998619
333	0.2051386493
334	0.2042235442
335	0.2034125366
336	0.2032641286
337	0.2030363389
338	0.2029001354
339	0.2023157338
340	0.2016129158
341	0.2010848164
342	0.2007481885
343	0.2003840027
344	0.2001043318
345	0.1998847679
346	0.1990563306
347	0.1983787409
348	0.1973990517
349	0.1971825085
350	0.1969481962
351	0.1967557379
352	0.1964982427
353	0.1963419432
354	0.1960554508
355	0.1955348628
356	0.1953342846
357	0.1951949058
358	0.1950783121
359	0.1946048589
360	0.194440388
361	0.194293148
362	0.1939682464
363	0.1937830774
364	0.1933107642
365	0.1931665124
366	0.192820511
367	0.19237779
368	0.1921725709
369	0.191832856
370	0.1916291085
371	0.1914504327
372	0.1911117156
373	0.1907413283
374	0.1905997153
375	0.1896018495
376	0.1894161274
377	0.1889967647
378	0.1886534634
379	0.1883606304
380	0.1881852667
381	0.1872995472
382	0.1871810184
383	0.1870281907
384	0.1867935381
385	0.1866499131
386	0.1864283019
387	0.1861572585
388	0.1859657136
389	0.1857991068
390	0.1855800392
391	0.1853670545
392	0.1845770022
393	0.1840789438
394	0.183811722
395	0.1835987345
396	0.1834336476
397	0.1825434856
398	0.1818447197
399	0.1814272035
400	0.1812199517
401	0.180970889
402	0.1807708671
403	0.1805520343
404	0.1802503221
405	0.1799184298
406	0.1796366847
407	0.179384398
408	0.1789203974
409	0.1787622287
410	0.1785777728
411	0.1778329545
412	0.1777065607
413	0.1773816073
414	0.1771617238
415	0.1769473131
416	0.1767830197
417	0.1765276787
418	0.1764289063
419	0.1759547439
420	0.1753295135
421	0.1751972713
422	0.1746202073
423	0.1743884726
424	0.1742604652
425	0.1741020093
426	0.1738025886
427	0.1736460216
428	0.1734475912
429	0.1733120268
430	0.1730428558
431	0.1728460353
432	0.1725068281
433	0.1723583454
434	0.1719854215
435	0.1718401013
436	0.1716358749
437	0.1714473814
438	0.1708936237
439	0.1706608789
440	0.1705267614
441	0.1703189383
442	0.1702002897
443	0.1699014278
444	0.169544785
445	0.1693728932
446	0.1690579881
447	0.168700877
448	0.1684169305
449	0.1683447183
450	0.1680761876
451	0.1678998046
452	0.1676724259
453	0.1674676772
454	0.1673835882
455	0.1673053929
456	0.1671093528
457	0.1669310446
458	0.1668324417
459	0.1665150878
460	0.1659490034
461	0.1657222775
462	0.1654516189
463	0.1653321579
464	0.1651831046
465	0.1646905486
466	0.164325507
467	0.1638670434
468	0.1637091749
469	0.1636375358
470	0.1635092234
471	0.1632904918
472	0.1631707565
473	0.1629880342
474	0.1627409166
475	0.1626260179
476	0.1624413846
477	0.1623491952
478	0.1620847554
479	0.1618905971
480	0.1617579777
481	0.1615914248
482	0.1613530146
483	0.1611323159
484	0.1609474413
485	0.1608080772
486	0.160709866
487	0.1606026251
488	0.1602872037
489	0.1602024453
490	0.1600694798
491	0.1599770007
492	0.1597782196
493	0.159590006
494	0.1595342952
495	0.1594010611
496	0.1591615829
497	0.1588160029
498	0.1584071905
499	0.1580876606
500	0.1578950931
501	0.1578104579
502	0.1576615914
503	0.1572177687
504	0.1569725454
505	0.1568771011
506	0.156740907
507	0.156579505
508	0.1563868794
509	0.1562388296
510	0.1561011779
511	0.1559085317
512	0.1558098681
513	0.1557258858
514	0.1555764539
515	0.155460409
516	0.1552593043
517	0.1551385561
518	0.1548369145
519	0.1546327941
520	0.1545493026
521	0.1544003108
522	0.154323825
523	0.1541871431
524	0.1540503838
525	0.1538956275
526	0.1538533653
527	0.1537019911
528	0.1536017586
529	0.1533565285
530	0.1532231566
531	0.1531144976
532	0.1530344884
533	0.1528975081
534	0.1528204611
535	0.1526076074
536	0.1524436398
537	0.1522602249
538	0.1521145925
539	0.1520429082
540	0.1519250918
541	0.1518570087
542	0.1517250548
543	0.1515925917
544	0.1514212213
545	0.1512925573
546	0.1512355415
547	0.1511743078
548	0.1510874111
549	0.1509915869
550	0.1509566076
551	0.1507915782
552	0.1505809289
553	0.150402823
554	0.1503075518
555	0.150242702
556	0.1500758185
557	0.1499838627
558	0.1498645585
559	0.1494766186
560	0.1494393913
561	0.1493489798
562	0.1493007855
563	0.1491452647
564	0.1489339921
565	0.1487853768
566	0.1486893094
567	0.1485766765
568	0.1483446585
569	0.1482218719
570	0.1481274186
571	0.147889143
572	0.1474666945
573	0.1472212375
574	0.146831384
575	0.1468015178
576	0.1466694118
577	0.146321741
578	0.1461977151
579	0.1461239266
580	0.1457801679
581	0.145574242
582	0.145466207
583	0.1453184315
584	0.1451851626
585	0.1449526923
586	0.1448414785
587	0.1447167403
588	0.1445574916
589	0.1443474548
590	0.1442831213
591	0.1441171962
592	0.1439302501
593	0.1438069867
594	0.1436132298
595	0.1434797919
596	0.1432562348
597	0.1430508388
598	0.1430039515
599	0.1428843666
600	0.1427697079
601	0.1427132582
602	0.142628742
603	0.1425004252
604	0.1423036057
605	0.1422011741
606	0.1421408321
607	0.1419808351
608	0.1419146259
609	0.1417397025
610	0.1416808969
611	0.1416205948
612	0.1415863395
613	0.1414809246
614	0.1412992328
615	0.1411500832
616	0.1410710327
617	0.14091733
618	0.1407417259
619	0.1406339083
620	0.1404987992
621	0.1404291229
622	0.1403714947
623	0.1402078384
624	0.1400946889
625	0.1399823827
626	0.1399122789
627	0.1397858931
628	0.139675637
629	0.1395805215
630	0.1394748888
631	0.1393622745
632	0.1392539732
633	0.1390565179
634	0.1389245587
635	0.1388533942
636	0.138780576
637	0.1386690808
638	0.1385619577
639	0.1384208867
640	0.1383180415
641	0.1382111831
642	0.138063018
643	0.1379291763
644	0.1378459615
645	0.1377161805
646	0.1376127287
647	0.1374974066
648	0.1374646969
649	0.1373536274
650	0.1372699719
651	0.1371889332
652	0.1370763596
653	0.136987653
654	0.1368837064
655	0.1368163818
656	0.1367375524
657	0.136645681
658	0.1365178469
659	0.1363898298
660	0.1363315063
661	0.1362438375
662	0.1361712193
663	0.1360368018
664	0.1359148976
665	0.1357066557
666	0.135623933
667	0.1355968245
668	0.1355294131
669	0.135462901
670	0.1352926529
671	0.1351245482
672	0.1350178503
673	0.1348516288
674	0.1347971681
675	0.134706586
676	0.1346317199
677	0.1345436985
678	0.1345218396
679	0.1344630854
680	0.1343784486
681	0.1343250068
682	0.1342952055
683	0.1341712724
684	0.1340916426
685	0.1340471623
686	0.1339302441
687	0.1337563876
688	0.133665892
689	0.133549059
690	0.1333804091
691	0.1333030019
692	0.1332384603
693	0.1332065172
694	0.1331262463
695	0.1330487222
696	0.1329087812
697	0.1327893779
698	0.1327541464
699	0.1326576951
700	0.1325749774
701	0.132503073
702	0.1323508407
703	0.1322805416
704	0.1322299483
705	0.1321387263
706	0.1319807313
707	0.1319135493
708	0.131885496
709	0.1317651764
710	0.1316880332
711	0.1315979099
712	0.1315011718
713	0.1313530344
714	0.1312769609
715	0.1312272673
716	0.1311790358
717	0.1310620482
718	0.1309169804
719	0.1307777099
720	0.1306668326
721	0.1306528979
722	0.1305656871
723	0.1304180487
724	0.1303495292
725	0.1302766933
726	0.1301988513
727	0.1301475299
728	0.1300535025
729	0.1299730224
730	0.1298887469
731	0.1297784401
732	0.1296707404
733	0.1295638185
734	0.1294402915
735	0.1293621979
736	0.1292407639
737	0.1291252239
738	0.1290847627
739	0.1289321041
740	0.1288199784
741	0.1286835597
742	0.1286379361
743	0.1285577628
744	0.1284617636
745	0.1283760957
746	0.1283364112
747	0.128232217
748	0.1280796336
749	0.1279853321
750	0.1278929111
751	0.1277988128
752	0.1277425308
753	0.1276802953
754	0.1275319304
755	0.1274825007
756	0.1274638497
757	0.1273546375
758	0.1273007769
759	0.1272212235
760	0.127133039
761	0.1270769477
762	0.1269686141
763	0.1268897207
764	0.1268394865
765	0.1267989969
766	0.1267388477
767	0.1266201086
768	0.1265341295
769	0.1264000203
770	0.1263182951
771	0.1262718421
772	0.1261971009
773	0.1261481224
774	0.1261039796
775	0.1260932786
776	0.1259498026
777	0.1257705149
778	0.1255439606
779	0.1254772468
780	0.125365061
781	0.1253200424
782	0.1252561863
783	0.125188512
784	0.1251009278
785	0.1249966326
786	0.1249254917
787	0.124809654
788	0.124643879
789	0.1245471994
790	0.1244230922
791	0.1243812665
792	0.1243101367
793	0.1242242084
794	0.1241525389
795	0.124140475
796	0.1240826576
797	0.1239368397
798	0.1238636255
799	0.1238067921
800	0.1236950437
801	0.1235914621
802	0.123487563
803	0.1234308062
804	0.1232339024
805	0.123165108
806	0.123108402
807	0.1230267977
808	0.1229662737
809	0.1228315062
810	0.1227354374
811	0.1226370803
812	0.1225798744
813	0.1225476363
814	0.1224462879
815	0.1223849644
816	0.1223478889
817	0.1222946299
818	0.1222072723
819	0.1220069292
820	0.1219644043
821	0.1218713773
822	0.1218149754
823	0.1216724097
824	0.1216040348
825	0.1215217635
826	0.1214280068
827	0.1213849138
828	0.1213528404
829	0.1213015141
830	0.121230158
831	0.1211369917
832	0.1210426712
833	0.1209903777
834	0.1209078368
835	0.1207989427
836	0.1207505572
837	0.1205995041
838	0.1205327409
839	0.1204362069
840	0.1203537635
841	0.1202351525
842	0.1201965804
843	0.1201252896
844	0.1200155414
845	0.1199563493
846	0.1199432267
847	0.1198815126
848	0.119816478
849	0.1197577941
850	0.1197099117
851	0.1194970055
852	0.1194326227
853	0.1193327507
854	0.1192577679
855	0.1191574372
856	0.1191191774
857	0.1190192035
858	0.1189362543
859	0.1188558096
860	0.1188105812
861	0.118745194
862	0.1186805868
863	0.118614787
864	0.1185158765
865	0.1184231348
866	0.1183611737
867	0.118278856
868	0.1181943076
869	0.1181369174
870	0.1180727971
871	0.1180111668
872	0.1179548254
873	0.1178765579
874	0.1178161084
875	0.1177298774
876	0.1176754642
877	0.1175548398
878	0.1174834618
879	0.1173943439
880	0.1173066106
881	0.117243841
882	0.1171290067
883	0.1170420344
884	0.1169261837
885	0.1168513018
886	0.1167780904
887	0.1166714658
888	0.116600588
889	0.1165277771
890	0.1164644174
891	0.1164074332
892	0.1163265998
893	0.116194207
894	0.1161232228
895	0.1160350655
896	0.1159714592
897	0.1159226551
898	0.1158628928
899	0.1158072959
900	0.1157525104
901	0.1156891442
902	0.115619091
903	0.1155754989
904	0.1155449008
905	0.1154762247
906	0.1154082181
907	0.1153624481
908	0.1152662707
909	0.1152104434
910	0.1151252173
911	0.1150627213
912	0.1150285032
913	0.1148853674
914	0.1148215902
915	0.1147637668
916	0.1147117895
917	0.1146440691
918	0.1146305073
919	0.1145949712
920	0.1145519364
921	0.1144727639
922	0.1144205636
923	0.114373916
924	0.1143161034
925	0.1142545158
926	0.1141991737
927	0.1141444438
928	0.1140576996
929	0.1140020877
930	0.1139560175
931	0.113881879
932	0.1137980886
933	0.1137386847
934	0.1136471629
935	0.1135027906
936	0.1134410969
937	0.1134201302
938	0.1134089308
939	0.1133458974
940	0.1132489487
941	0.1132039357
942	0.1131922542
943	0.1130831073
944	0.1130223777
945	0.1129899555
946	0.1128688544
947	0.1127707068
948	0.112712147
949	0.1126654164
950	0.112595044
951	0.1125706201
952	0.1125202174
953	0.1124597615
954	0.1123769025
955	0.112332151
956	0.1122986489
957	0.1122189466
958	0.1121619871
959	0.1120924215
960	0.1120437245
961	0.1119882678
962	0.1119438433
963	0.1118861427
964	0.1118469657
965	0.1117578089
966	0.1117031737
967	0.1116823698
968	0.1116306021
969	0.111595589
970	0.1115456451
971	0.111490107
972	0.1114346487
973	0.1114052837
974	0.1113260179
975	0.1112533746
976	0.1111977512
977	0.1111671316
978	0.1110799019
979	0.1109974702
980	0.1109596589
981	0.1109359051
982	0.1108616575
983	0.1107897836
984	0.1106653693
985	0.1106029775
986	0.1105076576
987	0.1104763309
988	0.1104045948
989	0.1103961612
990	0.1103843643
991	0.1103069948
992	0.1102555656
993	0.1101973714
994	0.110077625
995	0.1100084344
996	0.1099274581
997	0.1098855261
998	0.1098021092
999	0.1097137062
