iter	Passed	Remaining
0	10	10339
1	17	8514
2	26	8825
3	33	8429
4	42	8546
5	49	8247
6	58	8365
7	66	8218
8	74	8207
9	81	8069
10	89	8082
11	96	7946
12	103	7847
13	112	7906
14	119	7846
15	128	7903
16	135	7842
17	145	7910
18	151	7841
19	161	7916
20	168	7833
21	176	7842
22	183	7803
23	192	7823
24	199	7788
25	208	7804
26	215	7760
27	224	7802
28	232	7784
29	242	7830
30	248	7782
31	257	7795
32	265	7769
33	274	7801
34	281	7773
35	290	7779
36	298	7760
37	307	7780
38	314	7743
39	322	7751
40	331	7743
41	339	7738
42	346	7722
43	356	7750
44	363	7718
45	373	7747
46	381	7734
47	392	7781
48	403	7840
49	412	7835
50	422	7852
51	429	7838
52	440	7868
53	449	7873
54	457	7867
55	468	7892
56	475	7864
57	484	7871
58	492	7852
59	503	7885
60	511	7872
61	521	7891
62	529	7879
63	538	7882
64	548	7891
65	558	7897
66	566	7882
67	575	7886
68	582	7861
69	591	7862
70	599	7847
71	609	7856
72	617	7844
73	627	7853
74	636	7853
75	648	7878
76	659	7901
77	667	7887
78	679	7920
79	689	7930
80	697	7917
81	707	7919
82	715	7909
83	725	7914
84	732	7886
85	742	7895
86	750	7874
87	760	7881
88	768	7863
89	778	7868
90	789	7882
91	796	7860
92	806	7863
93	813	7842
94	822	7834
95	829	7812
96	838	7808
97	846	7790
98	856	7793
99	863	7768
100	872	7766
101	880	7750
102	891	7762
103	899	7749
104	909	7752
105	918	7749
106	927	7737
107	937	7740
108	945	7729
109	954	7723
110	962	7711
111	972	7709
112	980	7694
113	989	7694
114	997	7677
115	1007	7677
116	1016	7674
117	1024	7660
118	1033	7653
119	1041	7639
120	1051	7636
121	1059	7622
122	1069	7622
123	1077	7609
124	1088	7622
125	1097	7609
126	1106	7605
127	1118	7616
128	1126	7607
129	1137	7611
130	1144	7592
131	1154	7593
132	1165	7598
133	1172	7579
134	1182	7579
135	1190	7565
136	1199	7555
137	1206	7536
138	1215	7529
139	1223	7513
140	1233	7511
141	1239	7490
142	1249	7490
143	1257	7475
144	1266	7469
145	1273	7451
146	1283	7447
147	1291	7434
148	1302	7441
149	1311	7431
150	1320	7423
151	1330	7421
152	1338	7408
153	1347	7403
154	1355	7392
155	1366	7393
156	1374	7381
157	1386	7387
158	1397	7390
159	1407	7387
160	1417	7388
161	1428	7389
162	1440	7397
163	1454	7413
164	1467	7424
165	1478	7430
166	1488	7422
167	1499	7425
168	1508	7419
169	1519	7419
170	1531	7426
171	1540	7416
172	1560	7459
173	1571	7461
174	1585	7474
175	1598	7482
176	1612	7496
177	1625	7504
178	1634	7499
179	1647	7504
180	1658	7504
181	1671	7510
182	1683	7515
183	1710	7587
184	1719	7575
185	1732	7580
186	1745	7587
187	1757	7589
188	1767	7583
189	1779	7585
190	1790	7584
191	1800	7578
192	1812	7580
193	1824	7580
194	1834	7575
195	1847	7579
196	1859	7579
197	1871	7580
198	1882	7575
199	1895	7580
200	1905	7575
201	1914	7563
202	1926	7562
203	1937	7560
204	1947	7550
205	1959	7553
206	1970	7547
207	1981	7543
208	1992	7540
209	2003	7536
210	2012	7525
211	2023	7519
212	2034	7515
213	2043	7504
214	2054	7501
215	2063	7490
216	2074	7486
217	2083	7475
218	2092	7462
219	2102	7453
220	2111	7442
221	2121	7433
222	2130	7422
223	2140	7415
224	2150	7408
225	2159	7395
226	2169	7386
227	2178	7377
228	2188	7367
229	2195	7351
230	2206	7344
231	2215	7335
232	2224	7321
233	2233	7312
234	2241	7297
235	2252	7290
236	2261	7279
237	2270	7267
238	2277	7252
239	2287	7244
240	2297	7236
241	2306	7223
242	2315	7214
243	2325	7205
244	2336	7200
245	2348	7198
246	2357	7186
247	2369	7183
248	2377	7170
249	2388	7165
250	2399	7161
251	2408	7149
252	2418	7141
253	2429	7134
254	2438	7122
255	2446	7111
256	2456	7102
257	2466	7094
258	2476	7084
259	2486	7076
260	2498	7073
261	2506	7060
262	2518	7056
263	2528	7049
264	2538	7040
265	2549	7036
266	2565	7043
267	2582	7053
268	2595	7054
269	2605	7045
270	2616	7037
271	2625	7027
272	2635	7017
273	2648	7017
274	2660	7014
275	2671	7007
276	2682	7002
277	2695	6999
278	2708	6998
279	2718	6991
280	2729	6983
281	2738	6971
282	2748	6964
283	2759	6957
284	2768	6945
285	2779	6939
286	2792	6936
287	2802	6928
288	2813	6921
289	2823	6913
290	2834	6906
291	2846	6900
292	2857	6894
293	2868	6888
294	2882	6887
295	2896	6887
296	2907	6882
297	2917	6871
298	2928	6866
299	2939	6858
300	2949	6850
301	2961	6844
302	2972	6838
303	2982	6828
304	2994	6822
305	3003	6811
306	3012	6799
307	3023	6792
308	3032	6781
309	3043	6775
310	3057	6774
311	3070	6769
312	3080	6761
313	3092	6756
314	3104	6750
315	3116	6744
316	3127	6737
317	3139	6733
318	3147	6719
319	3158	6711
320	3170	6705
321	3178	6691
322	3189	6685
323	3198	6672
324	3208	6663
325	3220	6657
326	3229	6646
327	3240	6639
328	3252	6632
329	3263	6626
330	3271	6612
331	3281	6603
332	3291	6592
333	3301	6583
334	3311	6574
335	3319	6560
336	3331	6554
337	3343	6548
338	3351	6535
339	3363	6528
340	3371	6516
341	3382	6506
342	3391	6496
343	3400	6484
344	3413	6480
345	3424	6472
346	3433	6461
347	3444	6453
348	3453	6442
349	3463	6431
350	3473	6423
351	3481	6409
352	3492	6400
353	3500	6388
354	3511	6379
355	3521	6371
356	3529	6357
357	3539	6347
358	3547	6334
359	3559	6328
360	3571	6322
361	3583	6315
362	3595	6310
363	3607	6302
364	3615	6290
365	3631	6290
366	3645	6287
367	3661	6288
368	3676	6287
