iter	MultiClass
0	1.466671877
1	1.358047611
2	1.279306959
3	1.213959038
4	1.158847309
5	1.107650845
6	1.069221264
7	1.031885109
8	1.000768075
9	0.9735729559
10	0.9541258262
11	0.933224976
12	0.9162185825
13	0.9021256135
14	0.8879623299
15	0.8739985903
16	0.8627015135
17	0.853536333
18	0.8462593819
19	0.8367059219
20	0.8296929674
21	0.8226892767
22	0.8134983903
23	0.8065767896
24	0.7987219261
25	0.7933443979
26	0.7887009798
27	0.7828748626
28	0.7785796333
29	0.7763917062
30	0.7729864505
31	0.7696608989
32	0.765751725
33	0.7621578287
34	0.7599880831
35	0.7578038499
36	0.755146349
37	0.7533413414
38	0.7517380404
39	0.7499595497
40	0.7476922465
41	0.7456785355
42	0.7444908178
43	0.7427087386
44	0.740206974
45	0.7388221758
46	0.7379793025
47	0.7366275374
48	0.7340608353
49	0.732839132
50	0.7315594825
51	0.7302108043
52	0.7286385519
53	0.72723902
54	0.7263807716
55	0.7251321615
56	0.7243793144
57	0.7224016577
58	0.7205417275
59	0.7192048507
60	0.7184321865
61	0.7170828607
62	0.7155583033
63	0.7146031391
64	0.7139257117
65	0.7129097201
66	0.7119988022
67	0.7102281067
68	0.709587301
69	0.7089172775
70	0.7081241325
71	0.7060980005
72	0.7055231101
73	0.7048273821
74	0.7037610753
75	0.7030111774
76	0.7016937579
77	0.6999048
78	0.6988833544
79	0.6981966074
80	0.6972480485
81	0.696418319
82	0.6953531905
83	0.6945748153
84	0.694297827
85	0.6937066786
86	0.6933018218
87	0.6922393811
88	0.6913315962
89	0.6904051425
90	0.6894352733
91	0.6883360815
92	0.6879023217
93	0.6873046879
94	0.6860185029
95	0.6853313614
96	0.6848382162
97	0.6843192716
98	0.6835388346
99	0.682865435
100	0.6820779021
101	0.6810355226
102	0.6802494519
103	0.6792991754
104	0.6781167958
105	0.6770858157
106	0.6764277195
107	0.6759555819
108	0.6754092782
109	0.674396991
110	0.6737335762
111	0.6732627538
112	0.6725700079
113	0.6722283302
114	0.6714072944
115	0.6710928623
116	0.670733764
117	0.670207339
118	0.6697382615
119	0.6688382895
120	0.6679839511
121	0.6673423229
122	0.6668588037
123	0.6665072068
124	0.6657683503
125	0.6654643152
126	0.6649411492
127	0.6639423735
128	0.6630095911
129	0.6624513655
130	0.6618959672
131	0.6614953886
132	0.6607100266
133	0.6601821079
134	0.6596496397
135	0.658963189
136	0.6586646823
137	0.6579176457
138	0.6573649472
139	0.6564208899
140	0.6559327424
141	0.6554628082
142	0.65510485
143	0.654574413
144	0.6540632591
145	0.6536446015
146	0.6533295092
147	0.6522024991
148	0.6517536071
149	0.6512298625
150	0.6504952145
151	0.6500526427
152	0.6497459803
153	0.649469413
154	0.6489593174
155	0.6482917004
156	0.647859523
157	0.6470833468
158	0.6461672227
159	0.645004428
160	0.6446100097
161	0.6443193754
162	0.6436222662
163	0.6431425147
164	0.6426795934
165	0.6421651072
166	0.6411832711
167	0.6407548973
168	0.6402070386
169	0.6394516521
170	0.6388080789
171	0.638289247
172	0.6375981317
173	0.6370235405
174	0.6366440158
175	0.6362341192
176	0.635756017
177	0.635359081
178	0.6342652298
179	0.633517728
180	0.6332338359
181	0.6323968745
182	0.6316271833
183	0.631102625
184	0.6308392478
185	0.6303337055
186	0.6298847841
187	0.6292862255
188	0.6290245779
189	0.6287723958
190	0.6284642558
191	0.6281110603
192	0.6276405414
193	0.6273757172
194	0.6269330989
195	0.6260837981
196	0.6257982902
197	0.625083594
198	0.6242666949
199	0.6235195807
200	0.6231393184
201	0.6226900178
202	0.6224346089
203	0.6219950675
204	0.6215806925
205	0.6206088046
206	0.620339182
207	0.6199837453
