genre_ids,original_language,original_title,overview,release_date,title,vote_average
"[18, 10752]",en,Cavalcade,"A cavalcade of English life from New Year's Eve 1899 until 1933 is seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic, and the Great War.",1933-02-08,Cavalcade,5.515
"[18, 10749, 10752]",en,A Farewell to Arms,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",1932-12-08,A Farewell to Arms,6.254
"[35, 18, 10749]",en,42nd Street,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1933-03-11,42nd Street,6.88
"[80, 18]",en,I Am a Fugitive from a Chain Gang,A World War I veteran’s dreams of becoming a master architect evaporate in the cold light of economic realities. Things get even worse when he’s falsely convicted of a crime and sent to work on a chain gang.,1932-11-09,I Am a Fugitive from a Chain Gang,7.822
"[35, 18]",en,Lady for a Day,"Never-wed, poor, rough around the edges Apple Annie has always written to her daughter, Louise, in Spain that she is married and a member of New York's high society. Upon receiving unexpected word from Louise (who hasn't seen Annie since infancy) that she is en route to America with her new fiancé and his father, a count, so the three of them can meet her, Annie panics, despairing that her beloved daughter will be destroyed by the deception.",1933-09-13,Lady for a Day,7.141
"[18, 10751]",en,Little Women,"Little Women is a coming-of-age drama tracing the lives of four sisters: Meg, Jo, Beth and Amy. During the American Civil War, the girls father is away serving as a minister to the troops. The family, headed by their beloved Marmee, must struggle to make ends meet, with the help of their kind and wealthy neighbor, Mr. Laurence, and his high spirited grandson Laurie.",1933-11-24,Little Women,6.7
"[36, 18]",en,The Private Life of Henry VIII,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933-08-17,The Private Life of Henry VIII,6.299
"[35, 80]",en,She Done Him Wrong,"New York singer and nightclub owner Lady Lou has more men friends than you can imagine. One of them is a vicious criminal who’s escaped and is on the way to see “his” girl, not realising she hasn’t exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader.",1933-02-09,She Done Him Wrong,5.8
"[18, 10749]",en,Smilin' Through,"On the day of his wedding, Sir John Carteret's fiancée, Moonyeen, is killed by a jealous rival named Jeremy, leaving him emotionally devastated. Carteret spends three decades in seclusion, mostly communing with the spirit of Moonyeen, until he learns that her niece, Kathleen, has become an orphan. He adopts and raises the child as his own but is alarmed when, as a young woman, she falls in love with the son of Moonyeen's murderer.",1932-09-24,Smilin' Through,6.6
"[35, 18, 10749]",en,State Fair,"The children of Iowa farmers find love, with mixed results, at the state fair.",1933-02-10,State Fair,6.2
"[18, 10749]",en,The Barretts of Wimpole Street,"Remarkable poet Elizabeth Barrett is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta, but feels stifled by the domestic tyranny of her wealthy widowed father. When she meets fellow poet Robert Browning in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.",1934-09-21,The Barretts of Wimpole Street,6.188
"[36, 18, 10749]",en,Cleopatra,The queen of Egypt barges the Nile and flirts with Mark Antony and Julius Caesar.,1934-10-05,Cleopatra,6.0
"[10402, 10749]",en,Flirtation Walk,"A private stationed in Hawaii gets involved with the general's engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when he's at West Point producing the annual play that turns out to star her.",1934-12-01,Flirtation Walk,5.4
"[35, 10749]",en,The Gay Divorcee,"Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired.",1934-10-12,The Gay Divorcee,6.862
"[10752, 18]",en,Here Comes the Navy,A cocky guy joins the Navy for the wrong reason but finds romance and twice is cited for heroism.,1934-07-21,Here Comes the Navy,5.813
"[18, 36]",en,The House of Rothschild,"The story of the rise of the Rothschild financial empire founded by Mayer Rothschild and continued by his five sons. From humble beginnings the business grows and helps to finance the war against Napoleon, but it's not always easy, especially because of the prejudices against Jews.",1934-04-07,The House of Rothschild,6.067
"[18, 10749]",en,Imitation of Life,"A struggling widow and her daughter take in a black housekeeper and her fair-skinned daughter. The two women start a successful business but face familial, identity, and racial issues along the way.",1934-11-23,Imitation of Life,7.006
"[35, 10749]",en,It Happened One Night,"A renegade reporter and a young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",1934-02-22,It Happened One Night,7.844
