genre_ids,original_language,original_title,overview,release_date,title,vote_average
"[80, 18]",en,Mildred Pierce,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,1945-10-20,Mildred Pierce,7.604
"[53, 9648, 10749, 18]",en,Spellbound,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",1945-11-08,Spellbound,7.423
"[18, 10749, 10752]",en,The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946-12-25,The Best Years of Our Lives,7.8
"[18, 36, 10752]",en,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,"In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",1944-11-24,Henry V,6.604
"[18, 10751, 14]",en,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946-12-20,It's a Wonderful Life,8.266
"[18, 10749, 12]",en,The Razor's Edge,"An adventurous young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",1946-11-19,The Razor's Edge,6.779
"[18, 10751, 37]",en,The Yearling,"Jody convinces his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",1946-12-18,The Yearling,6.5
"[35, 18, 14, 10749]",en,The Bishop's Wife,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.",1947-12-25,The Bishop's Wife,7.1
"[80, 18, 9648, 53]",en,Crossfire,"A man is murdered, apparently by one of a group of soldiers just out of the army. But which one? And why?",1947-08-15,Crossfire,6.543
"[18, 10749]",en,Gentleman's Agreement,A magazine writer poses as a Jew to expose anti-Semitism.,1947-11-11,Gentleman's Agreement,6.968
"[10749, 18, 36]",en,Great Expectations,"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",1946-12-26,Great Expectations,7.23
"[35, 18, 10751]",en,Miracle on 34th Street,"Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",1947-06-04,Miracle on 34th Street,7.35
[18],en,Hamlet,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",1948-12-10,Hamlet,7.441
[18],en,Johnny Belinda,A small-town doctor helps a deaf-mute farm girl learn to communicate.,1948-09-14,Johnny Belinda,6.895
"[18, 10749]",en,The Red Shoes,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",1948-09-06,The Red Shoes,7.966
"[18, 9648]",en,The Snake Pit,"Virginia Cunningham is confused upon finding herself in a mental hospital, with no memory of her arrival at the institution. Tormented by delusions and unable to even recognize her husband, Robert, she is treated by Dr. Mark Kik, who is determined to get to the root of her mental illness. As her treatment progresses, flashbacks depict events in Virginia's life that may have contributed to her instability.",1948-11-04,The Snake Pit,7.148
"[12, 18, 37]",en,The Treasure of the Sierra Madre,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948-01-15,The Treasure of the Sierra Madre,8.0
[18],en,All the King's Men,"A man of humble beginnings and honest intentions rises to power by nefarious means. Along for the wild ride are an earnest reporter, a heretofore classy society girl, and a too-clever-for-her-own-good political flack.",1949-11-16,All the King's Men,6.946
"[28, 12, 18, 10752]",en,Battleground,"Members of the U.S. Army's 101st Airborne Division are fighting for their country amidst the rugged terrain of Bastogne, Belgium, in December 1944. Holley and his American compatriots have already seen one of their own, Roderigues, perish under enemy fire. The men try to rebuff another series of Nazi attacks, but what they really need is a change in the weather. Without clear skies, they'll never get the air support they need.",1949-11-09,Battleground,6.673
"[18, 10749, 36]",en,The Heiress,"Dull and plain Catherine lives with her emotionally distant father, Dr. Sloper, in 1840s New York. Her days are empty — filled with little more than needlepoint. Enter handsome Morris Townsend, a dashing social climber with his eye on the spinster's heart and substantial inheritance.",1949-10-06,The Heiress,7.696
"[18, 10749, 9648]",en,A Letter to Three Wives,"A letter is addressed to three wives from their ""best friend"" Addie Ross, announcing that she is running away with one of their husbands - but she does not say which one.",1949-01-20,A Letter to Three Wives,7.188
"[10752, 28, 18]",en,Twelve O'Clock High,"In the early days of daylight bombing raids over Germany, General Frank Savage must take command of a 'hard luck' bomber group. Much of the story deals with his struggle to whip his group into a disciplined fighting unit in spite of heavy losses, and withering attacks by German fighters over their targets.",1949-12-21,Twelve O'Clock High,7.095
[18],en,All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",1950-11-09,All About Eve,8.116
"[35, 18, 10749]",en,Born Yesterday,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",1950-12-25,Born Yesterday,7.164
"[35, 18, 10751, 10749]",en,Father of the Bride,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",1950-05-18,Father of the Bride,6.963
"[12, 28, 10749]",en,King Solomon's Mines,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,1950-11-09,King Solomon's Mines,6.534
[18],en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-17,Sunset Boulevard,8.322
"[35, 10402, 10749]",en,An American in Paris,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",1951-09-26,An American in Paris,7.019
"[10752, 28, 53]",en,Decision Before Dawn,"WWII is entering its last phase: Germany is in ruins, but does not yield. The US army lacks crucial knowledge about the German units operating on the opposite side of the Rhine, and decides to send two German prisoners to gather information. The scheme is risky: the Gestapo retains a terribly efficient network to identify and capture spies and deserters. Moreover, it is not clear that ""Tiger"", who does not mind any dirty work as long as the price is right, and war-weary ""Happy"", who might be easily betrayed by his feelings, are dependable agents. After Tiger and another American agent are successfully infiltrated, Happy is parachuted in Bavaria. His duty: find out the whereabouts of a powerful German armored unit moving towards the western front.",1951-12-21,Decision Before Dawn,6.7
"[18, 10749, 80]",en,A Place in the Sun,An ambitious young man wins an heiress's heart but has to cope with his former girlfriend's pregnancy.,1951-06-12,A Place in the Sun,7.321
"[18, 36, 10749]",en,Quo Vadis,"After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.",1951-11-08,Quo Vadis,7.073
[18],en,A Streetcar Named Desire,A fading southern belle tries to build a new life with her sister in New Orleans.,1951-09-19,A Streetcar Named Desire,7.642
"[18, 10751, 10749]",en,The Greatest Show on Earth,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",1952-02-16,The Greatest Show on Earth,6.273
"[37, 18]",en,High Noon,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",1952-06-09,High Noon,7.695
"[12, 10749, 36]",en,Ivanhoe,Sir Walter Scott's classic story of the chivalrous Ivanhoe who joins with Robin of Locksley in the fight against Prince John and for the return of King Richard the Lionheart.,1952-07-31,Ivanhoe,6.794
"[18, 10402]",en,Moulin Rouge,"Born into aristocracy, Toulouse-Lautrec moves to Paris to pursue his art as he hangs out at the Moulin Rouge where he feels like he fits in being a misfit among other misfits. Yet, because of the deformity of his legs from an accident, he believes he is never destined to experience the true love of a woman. But that lack of love in his life may change as he meets two women",1952-12-23,Moulin Rouge,6.753
"[10749, 35, 18]",en,The Quiet Man,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",1952-07-21,The Quiet Man,7.311
"[10752, 10749, 18]",en,From Here to Eternity,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",1953-08-28,From Here to Eternity,7.298
"[18, 36]",en,Julius Caesar,The assassination of the would be ruler of Rome at the hands of Brutus and company has tragic consequences for the idealist and the republic.,1953-06-04,Julius Caesar,7.061
"[18, 36]",en,The Robe,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.",1953-09-16,The Robe,6.779
"[10749, 35, 18]",en,Roman Holiday,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",1953-08-26,Roman Holiday,7.884
"[18, 37]",en,Shane,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.",1953-04-23,Shane,7.421
"[18, 10752]",en,The Caine Mutiny,"When a US Naval captain shows signs of mental instability that jeopardize his ship, the first officer relieves him of command and faces court martial for mutiny.",1954-06-23,The Caine Mutiny,7.163
[18],en,The Country Girl,An ex-theater actor is given one more chance to star in a musical yet his alcoholism may prevent it from happening.,1954-12-15,The Country Girl,6.887
"[80, 18, 10749]",en,On the Waterfront,"A dim-witted yet kind-hearted boxer, Terry Malloy, who failed to succeed unintentionally lures a man to his death after being tricked by a criminal called Johnny Friendly whose men pick of every man who has the courage to speak up to their crimes. As he works on the waterfronts that Friendly owns, he is sent to a church meeting run by a good preacher about how to deal with the problem and runs into the dead man’s sister. Slowly, he falls in love with her and begins to feel guilt about his crime.",1954-06-22,On the Waterfront,7.941
"[35, 18, 37]",en,Seven Brides for Seven Brothers,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",1954-07-22,Seven Brides for Seven Brothers,7.215
"[18, 10749]",en,Three Coins in the Fountain,"Three American roommates working in Italy wish for the man of their dreams after throwing coins into Rome's magnificent Trevi Fountain. Frances, a secretary at a government agency, sets out to win the heart of her smooth-talking novelist employer; Anita, her coworker, defies office regulations by romancing an Italian who works at the agency; and office newcomer Maria meets a real Italian Prince Charming and falls madly in love. The only thing the three hopeful ladies need to do is seal their fate.",1954-05-01,Three Coins in the Fountain,5.963
"[18, 10749]",en,Love Is a Many-Splendored Thing,A widowed doctor of both Chinese and European descent falls in love with a married American correspondent in Hong Kong during China's Communist revolution.,1955-08-18,Love Is a Many-Splendored Thing,6.019
"[18, 10749]",en,Marty,"Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.",1955-04-11,Marty,7.473
"[35, 18, 10752]",en,Mister Roberts,Mr. Roberts is as an officer who's yearning for battle but is stuck in the backwaters of World War II on a non-commissioned Navy ship run by the bullying Captain Morton.,1955-07-10,Mister Roberts,7.058
"[18, 10749]",en,Picnic,"Labor Day in a small Kansas farm town. Hal, a burly and resolute drifter, jumps off a dusty freight train car with the purpose of visiting Alan, a former college classmate and son of the richest man in town.",1955-11-18,Picnic,6.4
"[18, 10749]",en,The Rose Tattoo,A grieving widow embarks on a new romance when she discovers her late husband had been cheating on her.,1955-12-12,The Rose Tattoo,7.0
"[12, 35, 10751, 14, 10749]",en,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",1956-10-17,Around the World in Eighty Days,6.664
"[18, 10752]",en,Friendly Persuasion,"The story of a family of Quakers in Indiana in 1862. Their religious sect is strongly opposed to violence and war. It's not easy for them to meet the rules of their religion in everyday life but when Southern troops pass the area they are in real trouble. Should they fight, despite their peaceful attitude?",1956-11-25,Friendly Persuasion,6.6
"[18, 37]",en,Giant,"Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict's disagreement over prejudice fuels conflict that runs across generations.",1956-11-08,Giant,7.621
"[18, 10749, 12, 10402]",en,The King and I,"Widowed Welsh mother Anna Loenowens becomes a governess and English tutor to the wives and many children of the stubborn King Mongkut of Siam. Anna and the King have a clash of personalities as she works to teach the royal family about the English language, customs and etiquette, and rushes to prepare a party for a group of European diplomats who must change their opinions about the King.",1956-06-29,The King and I,7.078
"[18, 36]",en,The Ten Commandments,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",1956-10-05,The Ten Commandments,7.751
"[18, 36, 10752]",en,The Bridge on the River Kwai,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",1957-10-11,The Bridge on the River Kwai,7.835
"[18, 10749]",en,Peyton Place,"In the outwardly respectable New England community of Peyton Place, shopkeeper Constance McKenzie tries to make up for a past indiscretion -- which resulted in her illegitimate daughter Allison  -- by adopting a chaste, prudish attitude towards all things sexual.  In spite of herself, Constance can't help but be attracted to handsome new teacher Michael Rossi. Meanwhile, the restless Allison, who'd like to be as footloose and fancy-free as the town's ""fast girl"" Betty Anderson, falls sincerely in love with mixed-up mama's boy Norman Page.",1957-12-13,Peyton Place,6.689
"[18, 10749]",en,Sayonara,"Air Force Major Lloyd Gruver (Marlon Brando) is reassigned to a Japanese air base, and is confronted with US racial prejudice against the Japanese people. The issue is compounded because a number of the soldiers become romantically involved with Japanese women, in defiance of US military policy. Ordinarily an officer who is by-the-book, Gruver must take a position when a buddy of his, an enlisted man Joe Kelly (Red Buttons) falls in love with a Japanese woman Katsumi (Miyoshi Umeki) and marries her. Gruver risks his position by serving as best man at the wedding ceremony.",1957-12-25,Sayonara,6.57
[18],en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,12 Angry Men,8.545
"[18, 9648, 80]",en,Witness for the Prosecution,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.",1957-12-17,Witness for the Prosecution,8.215
"[35, 18]",en,Auntie Mame,"Mame Dennis, a progressive and independent woman of the 1920s, is left to care for her nephew Patrick after his wealthy father dies. Conflict ensues when the executor of the father's estate objects to the aunt's lifestyle and tries to force her to send Patrick to prep school.",1958-12-04,Auntie Mame,7.016
[18],en,Cat on a Hot Tin Roof,"An alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. His wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. His reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son.",1958-08-29,Cat on a Hot Tin Roof,7.662
"[80, 18]",en,The Defiant Ones,Two convicts—a white racist and an angry black man—escape while chained to each other.,1958-08-14,The Defiant Ones,7.135
"[35, 10749]",en,Gigi,"A home, a motorcar, servants, the latest fashions: the most eligible and most finicky bachelor in Paris offers them all to Gigi. But she, who's gone from girlish gawkishness to cultured glamour before our eyes, yearns for that wonderful something money can't buy.",1958-05-15,Gigi,6.224
"[18, 10749]",en,Separate Tables,Boarders at an English resort struggle with emotional problems.,1958-12-18,Separate Tables,6.827
"[80, 18, 9648]",en,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",1959-07-01,Anatomy of a Murder,7.841
"[36, 18, 12, 28]",en,Ben-Hur,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",1959-11-18,Ben-Hur,7.878
"[18, 36]",en,The Diary of Anne Frank,"The true, harrowing story of a young Jewish girl who, with her family and their friends, is forced into hiding in an attic in Nazi-occupied Amsterdam.",1959-03-18,The Diary of Anne Frank,7.212
[18],en,The Nun's Story,"After leaving a wealthy Belgian family to become a nun, Sister Luke struggles with her devotion to her vows during crisis, disappointment, and World War II.",1959-06-18,The Nun's Story,7.154
"[18, 10749]",en,Room at the Top,"An ambitious young accountant schemes to wed a wealthy factory owner's daughter, despite falling in love with a married older woman.",1959-01-22,Room at the Top,6.884
[37],en,The Alamo,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,1960-10-23,The Alamo,7.18
"[35, 18, 10749]",en,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",1960-06-21,The Apartment,8.217
[18],en,Elmer Gantry,"When hedonistic but charming con man Elmer Gantry meets the beautiful Sister Sharon Falconer, a roadside revivalist, he feigns piousness to join her act as a passionate preacher. The two make a successful onstage pair, and their chemistry extends to romance. Both the show and their relationship are threatened, however, when one of Gantry's ex-lovers decides that she has a score to settle with the charismatic performer.",1960-07-07,Elmer Gantry,7.283
[18],en,Sons and Lovers,"The son of a working-class British mining family has dreams of pursuing an art career, but when he strikes up an affair with an older, married woman from the town it enrages his kind but possessive mother.",1960-08-29,Sons and Lovers,6.545
[12],en,The Sundowners,"In the Australian Outback, the Carmody family--Paddy, Ida, and their teenage son Sean--are sheep drovers, always on the move. Ida and Sean want to settle down and buy a farm. Paddy wants to keep moving. A sheep-shearing contest, the birth of a child, drinking, gambling, and a racehorse will all have a part in the final decision.",1960-12-08,The Sundowners,6.6
"[18, 10749]",en,Fanny,"Almost 19-year-old Marius feels himself in a rut in Marseille, his life planned for him by his cafe'-owning father, and he longs for the sea. The night before he is to leave on a 5-year voyage, Fanny, a girl he grew up with, reveals that she is in love with him, and he discovers that he is in love with her. He must choose between an exciting life at sea, and a boring life with the woman he loves. And Fanny must choose between keeping the man she loves, and letting him live the life he seems to want.",1961-06-28,Fanny,6.682
"[10752, 28, 12]",en,The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961-04-27,The Guns of Navarone,7.313
"[18, 10749]",en,The Hustler,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,1961-09-25,The Hustler,7.694
"[18, 36, 10752]",en,Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",1961-12-18,Judgment at Nuremberg,8.041
"[80, 18, 10749]",en,West Side Story,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two romantics, one from each gang, fall in love leading to tragedy.",1961-12-13,West Side Story,7.258
"[12, 18, 36, 10752]",en,Lawrence of Arabia,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",1962-12-11,Lawrence of Arabia,7.988
"[10752, 28, 18]",en,The Longest Day,"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day""",1962-09-25,The Longest Day,7.595
"[35, 10751, 10402, 10749]",en,The Music Man,"A con man comes to an Iowa town with a scam using a boy's marching band program, but things don't go according to plan.",1962-06-19,The Music Man,7.113
"[12, 18, 36]",en,Mutiny on the Bounty,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",1962-11-08,Mutiny on the Bounty,7.016
[18],en,To Kill a Mockingbird,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",1962-12-20,To Kill a Mockingbird,7.996
"[18, 36]",en,America America,"A young Anatolian Greek, entrusted with his family's fortune, loses it en route to Istanbul and dreams of going to America.",1963-12-15,America America,6.885
"[18, 36, 10749]",en,Cleopatra,"Determined to hold on to the throne, Cleopatra seduces the Roman emperor Julius Caesar. When Caesar is murdered, she redirects her attentions to his general, Marc Antony, who vows to take power—but Caesar’s successor has other plans.",1963-06-12,Cleopatra,7.055
[37],en,How the West Was Won,"The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",1962-11-02,How the West Was Won,7.041
"[35, 18]",en,Lilies of the Field,"An unemployed construction worker heading out west stops at a remote farm in the desert to get water when his car overheats. The farm is being worked by a group of East European Catholic nuns, headed by the strict mother superior, who believes the man has been sent by God to build a much needed church in the desert.",1963-06-04,Lilies of the Field,7.188
"[12, 35, 10749]",en,Tom Jones,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?,1963-08-24,Tom Jones,6.005
"[18, 36]",en,Becket,"King Henry II of England has trouble with the Church. When the Archbishop of Canterbury dies, he has a brilliant idea. Rather than appoint another pious cleric loyal to Rome and the Church, he will appoint his old drinking and wenching buddy, Thomas Becket, technically a deacon of the church, to the post. Unfortunately, Becket takes the job seriously and provides abler opposition to Henry.  Preserved by the Academy Film Archive in 2003.",1964-03-11,Becket,7.199
"[35, 10752]",en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.127
"[35, 10751, 14]",en,Mary Poppins,"Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.",1964-12-17,Mary Poppins,7.573
"[10402, 35, 10749, 18]",en,My Fair Lady,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,1964-10-21,My Fair Lady,7.528
[18],el,Αλέξης Ζορμπάς,An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,1964-12-14,Zorba the Greek,7.498
"[18, 10749]",en,Darling,"The swinging London, early sixties. Beautiful but shallow, Diana Scott is a professional advertising model, a failed actress, a vocationally bored woman, who toys with the affections of several men while gaining fame and fortune.",1965-08-03,Darling,6.721
"[18, 10749, 10752]",en,Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",1965-12-22,Doctor Zhivago,7.533
"[18, 10749]",en,Ship of Fools,"Passengers on a ship traveling from Mexico to Europe in the 1930s represent society at large in that era. The crew is German, including the ship's Dr. Schumann, who falls in love with one of the passengers, La Condesa. A young American woman, Jenny, is traveling with the man she loves, David. Jenny is fascinated and puzzled by just who some of the other passengers are.",1965-07-29,Ship of Fools,6.524
"[18, 10751, 10402, 10749]",en,The Sound of Music,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",1965-03-29,The Sound of Music,7.712
"[35, 18, 10749]",en,A Thousand Clowns,"Twelve-year-old Nick lives with his Uncle Murray, a Mr.Micawber-like Dickensian character who keeps hoping something won't turn up. What turns up is a social worker, who falls in love with Murray and a bit in love with Nick. As the child welfare people try to force Murray to become a conventional man (as the price they demand for allowing him to keep Nick), the nephew, who until now has gloried in his Uncle's iconoclastic approach to life, tries to play mediator. But when he succeeds, he is alarmed by the uncle's willingness to cave in to society in order to save the relationship.",1965-12-13,A Thousand Clowns,6.92
"[35, 18, 10749]",en,Alfie,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,1966-03-29,Alfie,6.451
"[18, 36]",en,A Man for All Seasons,"A depiction of the conflict between King Henry VIII of England and his Lord Chancellor, Sir Thomas More, who refuses to swear the Oath of Supremacy declaring Henry Supreme Head of the Church in England.",1966-12-13,A Man for All Seasons,7.337
