genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
[37],43604,en,Viva Villa!,"In this fictionalized biography, young Pancho Villa takes to the hills after killing an overseer in revenge for his father's death.",8.472,1934-04-27,Viva Villa!,6.3,18
[18],84095,en,The White Parade,"The title represents the hopeful, ambitious students at a hospital training school and is primarily a story of the stern discipline and laborious physical and mental toil they endure in order to become nurses and join the White Parade. It is told mainly through the character of June Arden who finds romance with Ronald Hall III on the way, with side stories of the other girls who find failure, success, laughs and tears on the way.",3.238,1934-11-16,The White Parade,6.0,1
"[35, 18, 10749]",43886,en,Alice Adams,"In the lower-middle-class Adams family, father and son are happy to work in a drugstore, but mother and daughter Alice try every possible social-climbing stratagem despite snubs and embarrassment. When Alice finally meets her dream man Arthur, mother nags father into a risky business venture and plans to impress Alice's beau with an ""upscale"" family dinner. Will the excruciating results drive Arthur away?",7.132,1935-08-23,Alice Adams,6.7,42
"[10402, 10749]",43890,en,Broadway Melody of 1936,"Lovely, gifted Irene Foster hopes that her childhood sweetheart-turned Broadway producer Robert Gordon will recognize her--and her talent. Gordon is too busy sparring with a dirt-dishing gossip columnist to notice, but his wisecracking, heart-of-gold secretary certainly does. She and Irene must use their wits to show him what he's missing!",8.658,1935-09-18,Broadway Melody of 1936,6.4,16
"[12, 28, 36, 10749]",16905,en,Captain Blood,"Dr. Peter Blood, unjustly convicted of treason and exiled from England, becomes a notorious pirate.",16.827,1935-12-26,Captain Blood,7.252,208
"[12, 18, 10749, 10751]",43899,en,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger","Charles Dickens' timeless tale of an ordinary young man who lives an extraordinary life, filled with people who help and hinder him.",11.008,1935-01-18,David Copperfield,6.6,58
"[80, 18]",43896,en,The Informer,"Gypo Nolan is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend. So when British authorities advertise a reward for information about his best friend, current IRA member Frankie, Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?",6.756,1935-05-09,The Informer,6.8,89
"[12, 18, 10752]",43898,en,The Lives of a Bengal Lancer,"In the Northwest Frontier of India, the 41st Bengal Lancers leaded by the harsh Colonel Tom Stone are having trouble with the rebellious leader Mohammed Khan. After two casualties, the experienced but insubordinate Lieutenant Alan McGregor receives as replacement, the arrogant Lieutenant Forsythe and the immature son of Colonel Stone, Lieutenant Donald Stone. With the intention to prove that he will not have any privilege in the troop, the reception of Colonel Stone to his son is absolutely cold, but he becomes the protégé of McGregor. When Lieutenant Stone is kidnapped by Mohammed Khan, McGregor and Forsythe disobey the direct order of their commander, disguise as Indian peddlers and go to Khan's fortress to attempt to rescue their friend.",3.826,1935-01-11,The Lives of a Bengal Lancer,6.8,33
"[14, 10749, 35]",19075,en,A Midsummer Night's Dream,"Four young people escape Athens to a forest where the king and queen of the fairies are quarreling, while meanwhile, a troupe of amateur actors rehearses a play. When the fairy Puck uses a magic flower to make people fall in love, the whole thing becomes a little bit confused...",11.453,1935-10-09,A Midsummer Night's Dream,6.7,34
"[12, 18, 36]",12311,en,Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on revenge.",14.412,1935-11-22,Mutiny on the Bounty,7.342,306
"[10402, 10749, 18]",43894,en,Naughty Marietta,"A French princess flees an arranged marriage and sails for New Orleans, where she is rescued from pirates by a dashing mercenary.",12.009,1935-03-29,Naughty Marietta,4.1,13
[35],36006,en,Ruggles of Red Gap,"In this comedy of an Englishman stranded in a sea of barbaric Americans, Marmaduke Ruggles, a gentleman's gentleman and butler to an Earl is lost in a poker game to an uncouth American cattle baron. Ruggles's life is turned upside down as he's taken to the USA, is gradually assimilated into American life, accidently becomes a local celebrity, and falls in love along the way.",8.096,1935-03-08,Ruggles of Red Gap,7.0,63
"[35, 10402, 10749]",3080,en,Top Hat,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",18.527,1935-08-29,Top Hat,7.3,274
"[18, 10749, 12, 36]",37658,en,Anthony Adverse,"Based on the novel by Hervey Allen, this expansive drama follows the many adventures of the eponymous hero, Anthony Adverse. Abandoned at a convent by his heartless nobleman father, Don Luis, Anthony is later mentored by his kind grandfather, John Bonnyfeather, and falls for the beautiful Angela Giuseppe. When circumstances separate Anthony and Angela and he embarks on a long journey, he must find his way back to her, no matter what the cost.",11.233,1936-08-26,Anthony Adverse,5.9,22
"[18, 10749]",31507,en,Dodsworth,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.,8.216,1936-09-23,Dodsworth,7.161,115
"[18, 10402, 10749]",43277,en,The Great Ziegfeld,"Lavish biography of Flo Ziegfeld, the producer who became Broadway's biggest starmaker.",13.086,1936-04-08,The Great Ziegfeld,6.2,108
"[35, 10749]",31773,en,Libeled Lady,"When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results.",17.676,1936-10-09,Libeled Lady,7.3,103
"[35, 18, 10749]",24807,en,Mr. Deeds Goes to Town,"Longfellow Deeds lives in a small town, leading a small town kind of life. When a relative dies and leaves Deeds a fortune, Longfellow moves to the big city where he becomes an instant target for everyone. Deeds outwits them all until Babe Bennett comes along. When small-town boy meets big-city girl anything can, and does, happen.",15.173,1936-04-09,Mr. Deeds Goes to Town,7.489,316
"[18, 10749]",43879,en,Romeo and Juliet,Young love is poisoned by a generations long feud between two noble families.,10.535,1936-09-03,Romeo and Juliet,5.9,23
"[18, 10402, 10749]",43881,en,San Francisco,A beautiful singer and a battling priest try to reform a Barbary Coast saloon owner in the days before the great earthquake and subsequent fires in 1906.,12.285,1936-06-26,San Francisco,6.7,63
"[18, 36]",74469,en,The Story of Louis Pasteur,"A true story about Louis Pasteur, who revolutionized medicine by proving that much disease is caused by microbes, that sanitation is paramount and that at least some diseases can be cured by vaccinations.",7.602,1936-02-22,The Story of Louis Pasteur,6.789,38
"[35, 10749, 10402]",64142,en,Three Smart Girls,"The three Craig sisters Penny, Kay, and Joan, go to New York to stop their divorced father from marrying gold digger Donna Lyons and re-unite him with their mother.",3.94,1936-12-20,Three Smart Girls,6.4,14
"[35, 10749]",14675,en,The Awful Truth,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",16.244,1937-10-20,The Awful Truth,7.264,273
