iter	Passed	Remaining
398	93135	140286
399	93399	140099
400	93654	139897
401	93890	139668
402	94193	139537
403	94429	139307
404	94635	139032
405	94873	138805
406	95074	138524
407	95277	138245
408	95568	138094
409	95865	137953
410	96143	137782
411	96427	137619
412	96668	137395
413	96905	137166
414	97140	136933
415	97391	136723
416	97669	136549
417	97914	136331
418	98185	136147
419	98444	135947
420	98687	135724
421	98952	135531
422	99179	135286
423	99397	135030
424	99655	134828
425	99935	134654
426	100226	134496
427	100440	134233
428	100669	133990
429	100901	133753
430	101114	133489
431	101333	133234
432	101551	132978
433	101853	132832
434	102137	132661
435	102438	132511
436	102723	132341
437	103018	132183
438	103279	131980
439	103567	131812
440	103821	131601
441	104126	131453
442	104429	131303
443	104681	131088
444	104949	130891
445	105176	130645
446	105401	130396
447	105612	130130
448	105829	129871
449	106060	129629
450	106328	129433
451	106583	129220
452	106838	129008
453	107079	128778
454	107339	128571
455	107629	128399
456	107897	128201
457	108184	128026
458	108470	127848
459	108767	127683
460	109038	127487
461	109267	127241
462	109499	127000
463	109724	126750
464	109965	126519
465	110238	126324
466	110510	126129
467	110785	125935
468	110998	125672
469	111238	125438
470	111552	125289
471	111774	125036
472	112074	124869
473	112339	124664
474	112673	124533
475	112982	124375
476	113266	124189
477	113502	123950
478	113739	123712
479	114006	123506
480	114310	123341
481	114556	123112
482	114796	122877
483	115043	122649
484	115302	122434
485	115575	122234
486	115855	122040
487	116096	121806
488	116349	121583
489	116647	121408
490	116902	121188
491	117145	120955
492	117391	120725
493	117603	120459
494	117810	120190
495	118010	119914
496	118216	119644
497	118423	119374
498	118636	119112
499	118836	118836
500	119028	118553
501	119271	118321
502	119533	118107
503	119765	117864
504	119979	117603
505	120192	117341
506	120406	117081
507	120659	116859
508	120880	116605
509	121131	116381
510	121388	116162
511	121629	115928
512	121888	115710
513	122136	115483
514	122349	115222
515	122554	114954
516	122903	114820
517	123240	114675
518	123500	114457
519	123738	114219
520	123964	113971
521	124156	113691
522	124383	113443
523	124623	113207
524	124873	112980
525	125210	112831
526	125479	112622
527	125745	112409
528	126013	112197
529	126263	111969
530	126497	111727
531	126728	111482
532	126929	111211
533	127120	110932
534	127318	110659
535	127521	110391
536	127720	110120
537	127928	109857
538	128185	109635
539	128422	109396
540	128673	109169
541	128937	108954
542	129192	108730
543	129399	108467
544	129608	108205
545	129820	107945
546	130051	107702
547	130304	107477
548	130550	107246
549	130772	106996
550	130981	106734
551	131193	106475
552	131423	106232
553	131649	105984
554	131861	105726
555	132070	105466
556	132279	105206
557	132487	104945
558	132697	104685
559	132909	104428
560	133111	104163
561	133336	103917
562	133589	103691
563	133830	103457
564	134054	103210
565	134291	102972
566	134511	102722
567	134709	102455
568	134925	102201
569	135153	101958
570	135383	101715
571	135609	101469
572	135811	101206
573	136004	100937
574	136204	100673
575	136401	100406
576	136596	100139
577	136794	99874
578	136985	99604
579	137179	99336
580	137423	99105
581	137630	98848
582	137830	98585
583	138021	98316
584	138220	98053
585	138425	97795
586	138633	97539
587	138836	97280
588	139042	97022
589	139240	96760
590	139446	96503
591	139645	96242
592	139840	95977
593	140037	95715
594	140229	95450
595	140445	95201
596	140679	94964
597	140905	94722
598	141105	94463
599	141352	94235
600	141617	94019
601	141844	93777
602	142059	93528
603	142260	93270
604	142453	93006
605	142646	92743
606	142837	92479
607	143026	92214
608	143214	91948
609	143421	91695
610	143623	91439
611	143876	91215
612	144107	90977
613	144361	90754
614	144593	90517
615	144847	90294
616	145094	90067
617	145323	89828
618	145531	89575
619	145745	89328
620	145942	89069
621	146132	88806
622	146376	88577
623	146627	88352
624	146884	88130
625	147106	87887
626	147329	87645
627	147582	87421
628	147792	87171
629	148048	86949
630	148242	86689
631	148442	86434
632	148634	86175
633	148834	85920
634	149025	85660
635	149216	85400
636	149410	85142
637	149607	84887
638	149806	84632
639	150000	84375
640	150210	84127
641	150407	83871
642	150604	83617
643	150871	83401
644	151079	83152
645	151349	82937
646	151556	82688
647	151766	82440
648	151986	82199
649	152193	81950
650	152448	81727
651	152643	81472
652	152831	81213
653	153075	80985
654	153299	80745
655	153511	80500
656	153760	80273
657	153999	80042
658	154306	79845
659	154536	79609
660	154784	79382
661	155008	79143
662	155223	78899
663	155438	78655
664	155660	78415
665	155879	78173
666	156105	77935
667	156322	77693
668	156572	77467
669	156817	77238
670	157060	77008
671	157277	76766
672	157489	76521
673	157686	76269
674	158066	76105
675	158352	75896
676	158560	75650
677	158803	75420
678	159090	75210
679	159365	74995
680	159619	74770
681	159861	74539
682	160080	74298
683	160334	74072
684	160540	73825
685	160751	73580
686	160960	73334
687	161155	73082
688	161348	72829
689	161580	72594
690	161811	72358
691	162023	72114
692	162211	71859
693	162410	71610
694	162657	71381
695	162850	71129
696	163055	70883
697	163248	70631
698	163449	70383
699	163676	70147
700	163895	69906
701	164116	69667
702	164348	69433
703	164563	69191
704	164802	68959
705	165027	68722
706	165292	68501
707	165554	68279
708	165829	68062
709	166069	67831
710	166303	67597
711	166539	67364
712	166734	67114
713	166971	66882
714	167188	66641
715	167411	66403
716	167625	66161
717	167829	65916
718	168042	65674
719	168256	65432
720	168472	65192
721	168677	64947
722	168895	64708
723	169111	64467
724	169328	64228
725	169554	63991
726	169775	63753
727	169974	63506
728	170178	63262
729	170377	63016
730	170582	62772
731	170775	62524
732	170975	62278
733	171166	62030
734	171374	61787
735	171564	61539
736	171766	61295
737	171960	61048
738	172161	60803
739	172357	60557
740	172560	60314
741	172778	60076
742	173032	59850
743	173252	59613
744	173470	59375
745	173745	59157
746	173957	58917
747	174151	58671
748	174346	58425
749	174601	58200
750	174823	57964
751	175031	57723
752	175256	57487
753	175505	57260
754	175735	57026
755	175970	56794
756	176197	56560
757	176422	56324
758	176690	56103
759	176923	55870
760	177174	55643
761	177384	55403
762	177574	55157
763	177780	54916
764	177983	54674
765	178219	54442
766	178436	54205
767	178656	53969
768	178855	53726
769	179053	53483
770	179301	53255
771	179579	53036
772	179813	52804
773	180062	52576
774	180324	52352
775	180544	52115
776	180812	51893
777	181053	51663
778	181290	51431
779	181564	51210
780	181783	50973
781	182090	50761
782	182331	50531
783	182525	50287
784	182720	50044
785	182919	49802
786	183116	49560
787	183311	49317
788	183515	49077
789	183723	48837
790	183944	48602
791	184147	48362
792	184343	48119
793	184541	47878
794	184733	47635
795	184935	47395
796	185137	47155
797	185336	46914
798	185530	46672
799	185738	46434
800	186019	46214
801	186272	45987
802	186474	45747
803	186684	45510
804	186923	45279
805	187161	45048
806	187401	44818
807	187629	44585
808	187843	44348
809	188048	44110
810	188251	43871
811	188445	43630
812	188649	43391
813	188855	43153
814	189117	42928
815	189323	42690
816	189540	42455
817	189789	42227
818	190022	41995
819	190220	41755
820	190476	41528
821	190741	41304
822	190995	41076
823	191227	40844
824	191465	40613
825	191675	40377
826	191885	40140
827	192081	39900
828	192324	39671
829	192558	39439
830	192775	39204
831	193004	38972
832	193276	38748
833	193546	38523
834	193782	38292
835	194003	38058
836	194238	37826
837	194439	37588
838	194677	37357
839	194917	37127
840	195133	36892
841	195378	36662
842	195586	36425
843	195798	36190
844	196023	35956
845	196225	35719
846	196470	35489
847	196725	35262
848	196970	35032
849	197168	34794
850	197365	34556
851	197617	34327
852	197879	34101
853	198081	33864
854	198332	33635
855	198627	33413
856	198885	33186
857	199105	32952
858	199325	32718
859	199535	32482
860	199755	32248
861	200024	32022
862	200318	31800
863	200550	31568
864	200831	31343
865	201086	31115
866	201327	30884
867	201610	30659
868	201846	30427
869	202067	30194
870	202288	29960
871	202529	29729
872	202757	29496
873	202993	29264
874	203207	29029
875	203430	28796
876	203648	28561
877	203871	28328
878	204084	28093
879	204310	27860
880	204531	27626
881	204750	27392
882	204972	27159
883	205195	26926
884	205420	26693
885	205646	26460
886	205863	26226
887	206102	25994
888	206325	25761
889	206558	25529
890	206790	25297
891	207071	25071
892	207326	24842
893	207558	24609
894	207780	24376
895	208007	24143
896	208244	23912
897	208511	23683
898	208773	23455
899	209015	23223
900	209262	22993
901	209511	22762
902	209747	22531
903	209965	22297
904	210216	22066
905	210467	21836
906	210722	21606
907	210997	21378
908	211245	21147
909	211502	20917
910	211770	20688
911	212015	20457
912	212245	20224
913	212457	19990
914	212717	19760
915	212963	19529
916	213187	19296
917	213430	19064
918	213687	18834
919	213924	18602
920	214169	18370
921	214411	18138
922	214638	17905
923	214862	17672
924	215100	17440
925	215330	17207
926	215555	16974
927	215771	16740
928	215996	16507
929	216225	16275
930	216452	16042
931	216674	15808
932	216897	15575
933	217114	15342
934	217333	15108
935	217558	14875
936	217780	14642
937	218001	14409
938	218220	14176
939	218442	13943
940	218655	13709
941	218877	13476
942	219111	13244
943	219329	13011
944	219550	12778
945	219769	12544
946	219983	12311
947	220205	12078
948	220425	11845
949	220646	11612
950	220867	11380
951	221089	11147
952	221313	10914
953	221531	10681
954	221750	10448
955	221967	10216
956	222184	9983
957	222405	9750
958	222622	9517
959	222835	9284
960	223054	9052
961	223273	8819
962	223490	8586
963	223712	8354
964	223939	8122
965	224169	7890
966	224390	7657
967	224609	7425
968	224822	7192
969	225037	6959
970	225262	6727
971	225486	6495
972	225713	6263
973	225936	6031
974	226153	5798
975	226378	5566
976	226601	5334
977	226823	5102
978	227053	4870
979	227280	4638
980	227507	4406
981	227731	4174
982	227956	3942
983	228185	3710
984	228412	3478
985	228739	3247
986	229002	3016
987	229238	2784
988	229479	2552
989	229742	2320
990	229986	2088
991	230225	1856
992	230456	1624
993	230689	1392
994	230930	1160
995	231153	928
996	231375	696
997	231603	464
998	231827	232
999	232049	0
